gene,mean,std,signature,role
TNC,3.373204502521739,2.8072563228167193,M,consensus_panel
TNFAIP2,4.247879864582844,2.567011696973363,E,consensus_panel
TNFAIP6,1.5272922244167357,1.6656306626981185,M,consensus_panel
TNFRSF12A,6.316513092955206,2.5572259781321356,M,consensus_panel
TNS1,1.7518603964234178,1.690171724795312,M,consensus_panel
TP53I3,3.979687413906286,1.4435702508698918,M,consensus_panel
TPD52L1,3.847429233779152,2.4765613107260975,E,consensus_panel
TPM1,6.810259010284051,2.426909048181961,M,consensus_panel
TPM4,8.050434997324025,1.2927323007605827,M,consensus_panel
TPST1,3.662447518676385,1.4657776013026784,M,consensus_panel
TPST2,3.5881103116579407,1.0749729885966623,M,consensus_panel
TSPAN1,3.0563340859491217,2.6492933159573995,E,consensus_panel
TUBA1A,6.682968755514834,2.5734729801934355,M,consensus_panel
TUBA4A,5.4082048048013975,2.3198632471814165,M,consensus_panel
TUBB3,5.236276442796393,2.137829442473631,M,consensus_panel
TUFT1,3.6371090279308724,1.5753680097860714,M,consensus_panel
VAV3,1.9439683629087035,1.820788547257632,E,consensus_panel
VCAN,2.814553723927841,2.8036428298021185,M,consensus_panel
VEGFC,2.3743465319528725,2.0453628366210084,M,consensus_panel
VGLL3,1.6897644740598237,1.8187262925431766,M,consensus_panel
VIM,7.593873358477525,3.772576231297613,M,consensus_panel
WNT5A,2.3273810173215157,2.22237788394826,M,consensus_panel
WNT5B,2.1129873386364713,1.9360523578722109,M,consensus_panel
XYLT1,1.5183517007105898,1.5326917033252965,M,consensus_panel
ZEB1,2.6459498426535983,1.7181056274006536,M,consensus_panel
ZNF365,1.126361482265595,1.0486722900165666,M,consensus_panel
